app,rank,download_proxy,rating_growth,revenue_proxy,sentiment_score,update_frequency,timestamp
LiveScore,140,71601534,0.1504,1000.0,0.787,9,2026-04-25T17:19:31.180940
AllFootball,416,42123039,0.0336,1000.0,0.798,70,2026-04-25T17:19:31.180940
SofaScore,36,74193122,0.1209,70000.0,0.854,1,2026-04-25T17:20:25.514176
FlashScore,,97180259,0.1772,1000.0,0.733,4,2026-04-25T17:20:25.514176
OneFootball,181,56436412,0.018,100000.0,0.75,14,2026-04-25T17:20:25.514176
365Scores,102,87279684,0.157,8000.0,0.94,3,2026-04-25T17:20:25.514176
Fotmob,,50000,,1000.0,0.836,7,2026-04-25T17:20:25.514176
LiveScore,140,71601534,0.1504,1000.0,0.824,9,2026-04-25T17:20:25.514176
AllFootball,416,42123039,0.0336,1000.0,0.797,70,2026-04-25T17:20:25.514176
SofaScore,36,74193122,0.1209,70000.0,0.864,1,2026-04-25T17:57:18.752721
FlashScore,,97180259,0.1772,1000.0,0.746,4,2026-04-25T17:57:18.752721
OneFootball,181,56436412,0.018,100000.0,0.75,14,2026-04-25T17:57:18.752721
365Scores,102,87279684,0.157,8000.0,0.91,3,2026-04-25T17:57:18.752721
Fotmob,,50000,,1000.0,0.836,7,2026-04-25T17:57:18.752721
LiveScore,140,71601534,0.1504,1000.0,0.846,9,2026-04-25T17:57:18.752721
AllFootball,416,42123039,0.0336,1000.0,0.803,70,2026-04-25T17:57:18.752721
SofaScore,36,74193122,0.1209,70000.0,0.876,1,2026-04-25T17:58:16.390034
FlashScore,,97180259,0.1772,1000.0,0.748,4,2026-04-25T17:58:16.390034
OneFootball,181,56436412,0.018,100000.0,0.741,14,2026-04-25T17:58:16.390034
365Scores,102,87279684,0.157,8000.0,0.94,3,2026-04-25T17:58:16.390034
Fotmob,,50000,,1000.0,0.0,7,2026-04-25T17:58:16.390034
LiveScore,140,71601534,0.1504,1000.0,0.858,9,2026-04-25T17:58:16.390034
AllFootball,416,42123039,0.0336,1000.0,0.799,70,2026-04-25T17:58:16.390034
